2,539,503,4,8,0.400146
3,550,498,4,9,0.505371
3,487,501,12,5,0.605957
3,550,502,4,10,0.607422
3,487,444,14,7,0.611328
3,488,515,11,5,0.62207
3,488,521,11,4,0.638184
2,550,497,4,7,0.687988
3,539,502,5,13,0.715332
3,488,528,11,5,0.72998
2,547,480,7,7,0.730469
3,488,477,14,7,0.736816
3,488,472,14,5,0.743652
3,488,508,12,5,0.752441
3,547,480,6,14,0.776855
0,315,440,28,24,0.858887
1,525,377,14,29,0.883789
0,347,516,17,36,0.905273
1,284,513,21,40,0.912109
1,321,513,23,42,0.918457
0,528,440,15,37,0.921875
0,471,540,32,40,0.944336
