2,577,91,4,4,0.355469
2,581,406,4,8,0.467529
0,799,0,11,5,0.565918
0,813,0,14,5,0.591797
0,748,0,10,6,0.652344
3,577,90,4,8,0.662109
0,905,30,9,17,0.713867
0,913,0,10,12,0.743652
0,900,0,11,9,0.744141
3,580,406,4,11,0.749512
0,684,151,12,10,0.759277
0,838,28,9,14,0.798828
0,687,163,14,11,0.807617
0,925,0,12,9,0.812012
0,681,140,17,10,0.814453
0,850,28,11,16,0.841797
0,694,226,28,13,0.844727
0,745,49,12,17,0.850586
0,700,239,27,13,0.855469
0,680,107,24,11,0.859375
0,760,51,12,17,0.865723
0,742,95,12,20,0.867188
0,679,118,25,13,0.867676
0,789,52,12,18,0.868652
0,585,141,10,19,0.869141
0,564,334,15,28,0.870605
0,706,46,11,21,0.872559
0,803,53,12,19,0.874023
0,699,297,30,16,0.882324
0,563,535,14,32,0.888672
0,549,201,10,21,0.889648
0,689,316,26,22,0.89502
0,588,465,15,34,0.911133
0,709,489,31,27,0.912598
0,669,65,26,14,0.925293
